WIN_20240407_15_51_59_Pro.mp4,,,,,,,,,,,,,
-4,43,91,249,291,336,388,417,453,491,536,563,,
16,69,117,263,309,360,402,437,479,513,550,584,,
WIN_20240407_15_54_56_Pro.mp4,,,,,,,,,,,,,
3,52,110,169,220,271,537,580,618,654,689,,,
25,76,140,192,245,292,561,603,640,674,706,,,
WIN_20240407_16_02_51_Pro.mp4,,,,,,,,,,,,,
-2,52,104,161,215,273,326,363,409,439,482,516,,
28,78,131,189,245,295,353,384,426,462,505,540,,
WIN_20240407_16_03_21_Pro.mp4,,,,,,,,,,,,,
-6,48,104,175,238,291,353,390,429,473,513,550,,
21,73,130,203,261,318,376,417,456,497,536,570,,
WIN_20240407_16_03_48_Pro.mp4,,,,,,,,,,,,,
179,226,277,323,373,426,469,515,557,597,636,670,,
202,249,303,349,399,451,500,542,582,618,656,697,,
WIN_20240407_16_04_17_Pro.mp4,,,,,,,,,,,,,
-8,59,110,165,223,271,320,354,393,432,474,504,,
33,86,138,190,240,295,343,378,415,455,492,537,,
WIN_20240407_16_04_41_Pro.mp4,,,,,,,,,,,,,
78,137,188,232,283,338,391,428,465,503,544,578,,
103,159,210,257,310,361,415,449,485,526,566,599,,
WIN_20240407_16_05_08_Pro.mp4,,,,,,,,,,,,,
1,61,107,156,217,268,311,350,388,421,456,491,,
27,78,130,187,239,291,337,371,406,441,478,511,,
WIN_20240407_16_13_01_Pro.mp4,,,,,,,,,,,,,
9,53,97,147,199,251,296,327,359,400,429,466,,
28,74,120,166,217,266,314,348,385,417,454,490,,
WIN_20240407_16_13_24_Pro.mp4,,,,,,,,,,,,,
7,57,104,145,194,240,285,325,359,388,423,453,,
33,81,125,169,218,264,315,344,377,408,442,475,,
WIN_20240407_16_13_47_Pro.mp4,,,,,,,,,,,,,
3,45,91,134,181,234,280,312,338,374,405,441,,
19,66,110,157,205,254,297,328,361,395,432,466,,
WIN_20240407_16_15_31_Pro.mp4,,,,,,,,,,,,,
33,114,200,275,335,401,482,530,572,617,656,705,,
79,153,241,300,370,444,511,550,598,642,683,732,,
WIN_20240407_16_16_09_Pro.mp4,,,,,,,,,,,,,
31,110,170,233,285,344,394,436,484,528,573,616,,
81,143,205,256,317,372,426,469,512,557,605,654,,
WIN_20240407_16_16_40_Pro.mp4,,,,,,,,,,,,,
43,101,161,215,266,323,377,417,453,499,540,584,,
73,132,189,239,289,348,408,439,485,526,562,611,,
WIN_20240407_16_17_05_Pro.mp4,,,,,,,,,,,,,
46,97,153,201,254,308,358,394,443,478,520,559,,
66,126,180,228,278,337,386,425,468,506,546,586,,
WIN_20240407_16_17_36_Pro.mp4,,,,,,,,,,,,,
20,67,120,166,220,274,326,365,409,446,492,523,,
45,94,148,195,247,302,357,392,437,475,514,556,,
WIN_20240407_16_18_00_Pro.mp4,,,,,,,,,,,,,
88,131,183,229,287,347,398,432,474,510,555,592,,
103,157,209,260,316,377,425,464,503,541,578,620,,
WIN_20240407_16_18_25_Pro.mp4,,,,,,,,,,,,,
69,116,166,208,265,316,368,405,442,475,515,542,,
90,140,194,240,290,342,400,433,465,499,534,567,,
WIN_20240407_16_18_48_Pro.mp4,,,,,,,,,,,,,
16,62,114,163,209,258,307,337,381,413,451,485,,
32,83,139,183,233,285,331,368,407,436,469,515,,
WIN_20240407_16_19_13_Pro.mp4,,,,,,,,,,,,,
24,74,123,170,219,268,316,350,390,423,461,497,,
44,97,145,196,242,291,341,375,413,448,482,524,,
WIN_20240407_16_19_36_Pro.mp4,,,,,,,,,,,,,
29,77,128,187,223,266,306,338,367,400,434,462,,
47,100,151,203,244,290,331,357,388,422,455,489,,
WIN_20240407_16_26_00_Pro.mp4,,,,,,,,,,,,,
-6,78,138,198,265,332,405,451,523,580,649,695,,
44,106,171,233,296,367,438,497,556,623,681,732,,
WIN_20240407_16_27_33_Pro.mp4,,,,,,,,,,,,,
11,70,116,171,231,283,343,378,409,437,467,496,,
37,89,152,199,256,312,372,400,428,457,490,517,,
WIN_20240407_16_27_59_Pro.mp4,,,,,,,,,,,,,
