WIN_20240407_15_51_59_Pro.mp4,,,,,,,
start_frame,6,53,101,398,463,546,
end_frame,26,79,127,412,489,560,
WIN_20240407_15_54_56_Pro.mp4,,,,,,,
start_frame,179,230,281,547,590,664,
end_frame,202,255,302,571,613,684,
WIN_20240407_16_02_51_Pro.mp4,,,,,,,
start_frame,171,225,283,373,449,526,
end_frame,199,255,305,394,472,550,
WIN_20240407_16_03_21_Pro.mp4,,,,,,,
start_frame,185,248,301,400,483,560,
end_frame,213,271,328,427,507,580,
WIN_20240407_16_03_48_Pro.mp4,,,,,,,
start_frame,333,383,436,525,607,680,
end_frame,359,409,461,552,628,707,
WIN_20240407_16_04_17_Pro.mp4,,,,,,,
start_frame,175,233,281,364,442,514,
end_frame,200,250,305,388,465,547,
WIN_20240407_16_04_41_Pro.mp4,,,,,,,
start_frame,242,293,348,438,513,588,
end_frame,267,320,371,459,536,609,
WIN_20240407_16_05_08_Pro.mp4,,,,,,,
start_frame,166,227,278,360,431,501,
end_frame,197,249,301,381,451,521,
WIN_20240407_16_13_01_Pro.mp4,,,,,,,
start_frame,157,209,261,337,410,476,
end_frame,176,227,276,358,427,500,
WIN_20240407_16_13_24_Pro.mp4,,,,,,,
start_frame,155,204,250,335,398,463,
end_frame,179,228,274,354,418,485,
WIN_20240407_16_13_47_Pro.mp4,,,,,,,
start_frame,144,191,244,322,384,451,
end_frame,167,215,264,338,405,476,
WIN_20240407_16_15_31_Pro.mp4,,,,,,,
start_frame,285,345,411,540,627,715,
end_frame,310,380,454,560,652,742,
WIN_20240407_16_16_09_Pro.mp4,,,,,,,
start_frame,243,295,354,446,538,626,
end_frame,266,327,382,479,567,664,
WIN_20240407_16_16_40_Pro.mp4,,,,,,,
start_frame,225,276,333,427,509,594,
end_frame,249,299,358,449,536,621,
WIN_20240407_16_17_05_Pro.mp4,,,,,,,
start_frame,211,264,318,404,488,569,
end_frame,238,288,347,435,516,596,
WIN_20240407_16_17_36_Pro.mp4,,,,,,,
start_frame,176,230,284,375,456,533,
end_frame,205,257,312,402,485,566,
WIN_20240407_16_18_00_Pro.mp4,,,,,,,
start_frame,239,297,357,442,520,602,
end_frame,270,326,387,474,551,630,
WIN_20240407_16_18_25_Pro.mp4,,,,,,,
start_frame,218,275,326,415,485,552,
end_frame,250,300,352,443,509,577,
WIN_20240407_16_18_48_Pro.mp4,,,,,,,
start_frame,173,219,268,347,423,495,
end_frame,193,243,295,378,446,525,
WIN_20240407_16_19_13_Pro.mp4,,,,,,,
start_frame,180,229,278,360,433,507,
end_frame,206,252,301,385,458,534,
WIN_20240407_16_19_36_Pro.mp4,,,,,,,
start_frame,197,233,276,348,410,472,
end_frame,213,254,300,367,432,499,
WIN_20240407_16_26_00_Pro.mp4,,,,,,,
start_frame,208,275,342,461,590,705,
end_frame,243,306,377,507,633,742,
WIN_20240407_16_27_33_Pro.mp4,,,,,,,
start_frame,181,241,293,388,447,506,
end_frame,209,266,322,410,467,527,
WIN_20240407_16_27_59_Pro.mp4,,,,,,,
start_frame,205,279,343,434,503,572,
end_frame,240,306,377,459,527,594,
WIN_20240407_16_28_24_Pro.mp4,,,,,,,
start_frame,187,246,302,392,465,542,
end_frame,214,268,334,417,497,563,
WIN_20240407_16_28_50_Pro.mp4,,,,,,,
start_frame,181,251,309,403,468,541,
end_frame,218,277,342,426,493,562,
WIN_20240407_16_29_14_Pro.mp4,,,,,,,
start_frame,199,263,323,417,488,562,
end_frame,235,296,357,440,515,584,
WIN_20240407_16_29_40_Pro.mp4,,,,,,,
start_frame,179,246,303,397,462,528,
end_frame,215,272,332,415,482,549,
WIN_20240407_16_30_04_Pro.mp4,,,,,,,
start_frame,174,232,284,373,434,492,
end_frame,203,256,314,395,450,520,
WIN_20240407_16_30_28_Pro.mp4,,,,,,,
start_frame,167,226,280,359,419,490,
end_frame,204,253,307,378,441,512,
WIN_20240407_16_30_50_Pro.mp4,,,,,,,
start_frame,168,228,284,369,429,494,
end_frame,200,252,308,389,450,516,
WIN_20240407_16_31_11_Pro.mp4,,,,,,,
start_frame,156,208,262,341,401,464,
end_frame,184,233,286,357,418,489,
WIN_20240407_16_31_32_Pro.mp4,,,,,,,
start_frame,160,215,272,344,401,463,
end_frame,185,240,293,364,421,488,
WIN_20240407_16_34_16_Pro.mp4,,,,,,,
start_frame,237,282,340,400,465,522,
end_frame,257,310,366,426,485,546,
WIN_20240407_16_34_38_Pro.mp4,,,,,,,
start_frame,163,218,275,341,396,456,515
end_frame,188,245,305,364,417,480,537
WIN_20240407_16_35_02_Pro.mp4,,,,,,,
start_frame,220,278,345,416,472,524,
end_frame,243,301,366,441,498,549,
WIN_20240407_16_35_29_Pro.mp4,,,,,,,
start_frame,168,213,267,325,389,446,
end_frame,185,235,296,349,409,473,
WIN_20240407_16_35_54_Pro.mp4,,,,,,,
start_frame,188,236,290,347,417,475,541
end_frame,210,261,318,377,439,499,560
WIN_20240407_16_36_16_Pro.mp4,,,,,,,
start_frame,203,248,305,372,425,482,
end_frame,223,276,334,392,447,503,
WIN_20240407_16_36_37_Pro.mp4,,,,,,,
start_frame,162,206,260,330,388,448,
end_frame,181,230,289,349,411,468,
WIN_20240407_16_36_56_Pro.mp4,,,,,,,
start_frame,171,223,270,343,408,473,
end_frame,192,243,299,363,430,495,
WIN_20240407_16_37_16_Pro.mp4,,,,,,,
start_frame,155,201,247,320,379,441,
end_frame,175,222,276,340,400,463,
WIN_20240407_16_37_35_Pro.mp4,,,,,,,
start_frame,159,204,253,333,394,455,
end_frame,178,228,281,354,413,479,
WIN_20240407_16_38_54_Pro.mp4,,,,,,,
start_frame,239,281,336,434,494,549,
end_frame,254,308,359,451,512,568,
WIN_20240407_16_39_17_Pro.mp4,,,,,,,
start_frame,179,221,265,338,404,467,
end_frame,198,243,285,358,426,484,
WIN_20240407_16_39_39_Pro.mp4,,,,,,,
start_frame,131,172,213,281,342,408,
end_frame,151,191,233,298,361,425,
WIN_20240407_16_39_57_Pro.mp4,,,,,,,
start_frame,120,161,200,272,330,400,
end_frame,141,179,220,287,350,416,
WIN_20240407_16_40_14_Pro.mp4,,,,,,,
start_frame,139,178,222,287,340,397,
end_frame,155,193,235,302,359,416,
WIN_20240407_16_40_31_Pro.mp4,,,,,,,
start_frame,167,205,249,313,374,432,
end_frame,183,223,265,331,391,449,
WIN_20240407_16_40_51_Pro.mp4,,,,,,,
start_frame,132,173,217,283,343,402,
end_frame,152,194,236,298,360,419,
WIN_20240407_16_41_22_Pro.mp4,,,,,,,
start_frame,131,164,202,258,312,364,
end_frame,145,181,218,275,326,379,
WIN_20240407_16_41_38_Pro.mp4,,,,,,,
start_frame,128,159,193,244,295,345,
end_frame,142,176,208,258,307,357,
WIN_20240407_16_41_53_Pro.mp4,,,,,,,
start_frame,96,130,161,219,265,325,
end_frame,111,144,176,233,280,339,
WIN_20240407_18_26_42_Pro.mp4,,,,,,,
start_frame,185,223,278,341,402,461,
